Audio Time (s),Audio Frequency (Hz),Sheet Time (s),Sheet Frequency (Hz),Intonation Error (cents)
-0.09750000000079773,440.2338,0.0,440.0,0.92
0.9474999999991951,440.0857,1.0,440.0,0.34
1.6789999999991956,661.2837,2.0,659.25,5.33
2.828499999999213,661.2795,3.0,659.25,5.32
3.7689999999992274,736.7621,4.0,739.99,-7.57
4.918499999999241,738.1998,5.0,739.99,-4.19
5.858999999999256,660.9955,6.0,659.25,4.58
8.053499999999286,589.1405,8.0,587.33,5.33
9.202999999999303,588.9075,9.0,587.33,4.64
9.934499999999314,555.5867,10.0,554.37,3.8
10.874999999999329,555.2893,11.0,554.37,2.87
11.815499999999336,494.7787,12.0,493.88,3.15
12.964999999999357,492.6185,13.0,493.88,-4.43
13.905499999999371,439.049,14.0,440.0,-3.75
16.0999999999994,661.654,16.0,659.25,6.3
17.040499999999412,661.4616,17.0,659.25,5.8
17.876499999999425,587.2681,18.0,587.33,-0.18
19.339499999999447,589.3129,19.0,587.33,5.84
19.65299999999945,558.9532,20.0,554.37,14.25
20.90699999999947,558.2989,21.0,554.37,12.23
21.847499999999485,492.4045,22.0,493.88,-5.18
23.93749999999951,661.4858,24.0,659.25,5.86
24.982499999999526,661.3269,25.0,659.25,5.45
25.92299999999954,586.1981,26.0,587.33,-3.34
26.967999999999556,588.9838,27.0,587.33,4.87
27.80399999999957,559.6963,28.0,554.37,16.55
29.162499999999582,559.112,29.0,554.37,14.75
29.893999999999593,495.1328,30.0,493.88,4.39
31.774999999999622,439.8426,32.0,440.0,-0.62
33.864999999999654,661.4861,34.0,659.25,5.86
35.85049999999968,737.9058,36.0,739.99,-4.88
36.89549999999969,736.6029,37.0,739.99,-7.94
37.83599999999971,660.9428,38.0,659.25,4.44
39.716999999999736,589.3061,40.0,587.33,5.82
40.76199999999975,586.1509,41.0,587.33,-3.48
41.91149999999977,556.7334,42.0,554.37,7.36
